Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'15119010,"Palm oil and its fractions, whether or not refined (excluding chemically modified and crude): ...",382180,355204,403198,419168,438940,430341,459228,235729,340867,671217
'10011900,Durum wheat (excluding seed for sowing),0,0,127401,130624,300162,168075,184199,143344,146348,591537
'10063000,"Semi-milled or wholly milled rice, whether or not polished or glazed",58351,64180,77815,114055,123866,126402,172683,113662,243654,560420
'27101990,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",2162873,996125,2148463,1235745,1095615,859348,721430,1464729,1270124,528764
'15121910,"Sunflower-seed or safflower oil and their fractions, whether or not refined, but not chemically ...",2427,4055,4309,15571,17854,53228,66858,123453,357569,376893
'31055900,Mineral or chemical fertilisers containing the two fertilising elements nitrogen (excluding ...,94535,104670,909,45,276,177,19833,152132,328686,375088
'17011400,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",0,0,6132,6665,9118,12708,22338,498,75267,370193
'27101950,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",0,530,856,1586,424002,47085,569429,699932,166820,326508
'10019900,"Wheat and meslin (excluding seed for sowing, and durum wheat)",0,0,161755,232350,423628,153927,188069,314973,275452,319472
'30049090,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...",142817,222145,128449,244377,228023,247090,232490,256245,283062,308320
'30022000,Vaccines for human medicine,119534,91134,111250,111383,101776,47726,62056,54024,81772,242966
'31021000,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",169302,101888,161411,114424,93607,68114,169932,206349,190413,202200
'84071000,"Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft",599,28879,48413,5706,287818,354825,279087,102322,49876,184394
'85176200,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",21794,17467,26679,60841,15572,22489,13647,32349,67276,147764
'88033000,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",6802,13468,70956,94411,197471,102625,48034,49515,33880,143905
'15119090,"Palm oil and its fractions, whether or not refined (excluding chemically modified and crude): ...",2523,3124,3722,2705,2226,5303,13496,20258,43463,132786
'87032213,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,2424,23699,124673
'10064000,Broken rice,11464,14346,16802,41243,44304,56538,84093,87969,55744,113001
'30043900,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...",96390,162714,95847,153314,285102,186500,329587,260915,136160,110019
'11010000,Wheat or meslin flour,10470,8470,15553,20848,14254,16188,27524,40343,21263,107345
'87041013,Dumpers for off-highway use: completely built up (cbu) vehicles,0,0,0,0,0,0,0,9293,61933,99151
'87042213,"Motor vehicles for the transport of goods, with compression-ignition internal combustion piston ...",0,0,0,0,0,0,0,16024,49931,90732
'07131000,"Dried, shelled peas ""pisum sativum"", whether or not skinned or split",21855,13743,20099,43367,70997,56526,24361,29125,47059,86831
'39021000,"Polypropylene, in primary forms",41832,49283,46121,56118,61529,67045,77379,91215,104945,85102
'72072000,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",9467,12752,88050,122161,130038,134194,70975,102936,79096,83590
'87032323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,0,0,0,0,0,0,54328,78292,75888
'17019900,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",81568,100352,104761,104757,151066,111042,215601,163369,41704,75689
'54023300,Textured filament yarn of polyester (excluding that put up for retail sale),3358,4996,7356,9886,9299,16744,27220,37183,66700,75604
'72142000,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",260927,123924,166735,248479,211159,166520,210850,264684,221607,75289
